identity_key,candidate_state,risk_flags
grabbing_another's_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_nose,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_shirt,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_sleeve,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_twintails,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_wing,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_own_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
guided_hand_on_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
guiding_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hair_in_another's_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hair_in_own_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hair_lift,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hair_tie_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
half-heart_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_glasses,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_grab,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_grip,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_another's_clothes,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_another's_glove,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_another's_pocket,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_clothes,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_jacket,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_own_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_pocket,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_in_thighhighs,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_milking,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_animal,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_forehead,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_hat,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_headwear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_knee,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_another's_wrist,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_bed,RESIDUAL_UNCLASSIFIED,relation_or_body_token|intimate_or_boundary_token
hand_on_belt,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_blade,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_book,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_cane,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_chair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_eyewear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_floor,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_glass,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_goggles,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_ground,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_handle,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_headphones,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_headset,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_headwear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_helmet,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_hilt,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_lap,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_mask,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_mirror,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_ankle,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_elbow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_forehead,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_hat,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_knee,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_own_wrist,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_railing,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_sheath,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_shield,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_table,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_wall,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_weapon,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_on_window,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_over_another's_eyes,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_over_eye,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_over_heart,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_rest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_to_blade,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_to_forehead,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_to_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_to_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_to_weapon,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_under_dress,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hand_under_pillow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
handkerchief_biting,RESIDUAL_UNCLASSIFIED,intimate_or_boundary_token
hands_in_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_in_another's_pockets,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_in_opposite_sleeves,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_in_own_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_in_pocket,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_in_pockets,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_arms,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_cheeks,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_knees,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_shoulders,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_another's_wrists,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_bed,RESIDUAL_UNCLASSIFIED,relation_or_body_token|intimate_or_boundary_token
hands_on_eyewear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_floor,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_ground,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_headphones,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_headwear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_hilt,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_lap,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_arms,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_cheeks,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_knee,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_knees,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_own_shoulders,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_on_table,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hands_under_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
hanging_on_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_between_knees,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_bump,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_grab,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_hold,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_another's_back,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_another's_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_another's_stomach,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_back,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_ground,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_knee,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_knees,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_own_shoulder,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_pillow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_on_table,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_pinned_down,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_rest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
head_rub,RESIDUAL_UNCLASSIFIED,relation_or_body_token
headpatting_viewer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_arms,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_arms_duo,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_arms_trio,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_floating_above_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
heart_hands_duo,RESIDUAL_UNCLASSIFIED,relation_or_body_token
